depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-67.2	-67.3	-67.3
2	-65.9	-65.5	-65.7	-65.7
3	-64.2	-63.6	-63.9	-63.9
4	-62.4	-61.6	-62	-62
5	-60.4	-59.5	-59.9	-59.9
6	-58.1	-57	-57.6	-57.6
7	-55.7	-54.5	-55.1	-55.1
8	-53.3	-51.9	-52.6	-52.6
9	-50.9	-49.3	-50.1	-50.1
10	-48.4	-46.5	-47.4	-47.4
11	-46.2	-44.2	-45.2	-45.2
12	-43.9	-41.6	-42.7	-42.7
13	-41.5	-39	-40.2	-40.2
14	-39.2	-36.4	-37.7	-37.8
15	-36.6	-33.5	-34.9	-35
16	-34.3	-30.8	-32.5	-32.5
17	-31.7	-27.8	-29.6	-29.7
18	-28.9	-24.5	-26.6	-26.6
19	-26.3	-21.3	-23.6	-23.7
20	-22.5	-16.9	-19.5	-19.5
21	-14.4	-9.5	-12	-12
22	-3.7	2.7	-0.4	-0.4
23	11.1	20	16.2	16
24	28.2	44.2	37.6	37.3
25	37.6	60.9	51.1	50.7
26	43	72.9	59.8	59.4
27	47.3	84.6	67.3	67
28	50.5	95.7	73.4	73.5
29	53.7	109.3	80	80.5
30	58.3	120.4	87.5	87.8
31	63.8	129.5	94.9	95.3
32	70.1	138.4	102.7	103
33	77.1	147.7	110.4	110.9
34	84.2	156	118.7	119.2
35	91.5	165.3	127.8	128.1
